"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name Gemeindeverband","Group"
"1",2e+06,1998,1762791,0.545634379274367,0.689247122436144,0.739225229686828,0.704526112204949,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"2",2e+06,1999,1762791,0.527266889328761,0.666851435666438,0.738814875046784,0.686780571633841,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"3",2e+06,2000,1762791,0.507293688260644,0.639260744320867,0.7402957001446,0.666919051045845,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"4",2e+06,2001,1762791,0.478332564572768,0.558696586175842,0.730363298581089,0.615433519019313,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"5",2e+06,2002,1762791,0.485021934146509,0.56415800969116,0.697613893442683,0.606555643019914,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"6",2e+06,2003,1762791,0.494158718341767,0.555350988473683,0.680036917445654,0.599122199535796,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"7",2e+06,2004,1762791,0.493027366498484,0.539705983211582,0.66246522797085,0.584318401220165,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"8",2e+06,2005,1762791,0.50964736798711,0.555731720250822,0.654343027366406,0.59488789630212,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"9",2e+06,2006,1762791,0.499826789841111,0.535561202948091,0.642439590582952,0.576831608756187,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"10",2e+06,2007,1762791,0.466332040504895,0.533449135202208,0.602067786121946,0.544085286865713,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"11",2e+06,2008,1762791,0.436223176958108,0.476326450996245,0.550278544636772,0.484168175691616,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"12",2e+06,2009,1762791,0.438586252619606,0.469508250989814,0.528826769730723,0.473002460325545,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"13",2e+06,2010,1762791,0.422749175181246,0.491313654069114,0.47890031160286,0.45405677367204,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"14",2e+06,2011,1762791,0.390171128765392,0.431452255973514,0.487808131249538,0.418055153475437,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"15",2e+06,2012,1762791,0.367121092975351,0.411260244558582,0.474800103531693,0.393811714697848,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"16",2e+06,2013,1762791,0.351758625644631,0.398028424624432,0.415413445131399,0.35589246440788,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
"17",2e+06,2014,1762791,0.331195571530581,0.386474374810346,0.397145400156866,0.334176772928399,"Hamburg, Freie und Hansestadt",2e+06,2000,"Hamburg, Stadt",201,"Hamburg","DE60","Hamburg","Hamburg, Freie und Hansestadt",2000
